ProductReference,SupplierName,ProposedLayout,ProposedFoldingMethod,ProposedUnitsPerCarton,ProductName,GarmentType,Material,Size,Collection,Weight
PRD09991,SupplierA,LayoutC,Method1,22.0,Dress Polyester M,Dress,Polyester,M,Summer,0.4
PRD09990,SupplierC,LayoutB,Method2,34.0,T-Shirt Denim M,T-Shirt,Denim,M,Autumn,0.2
PRD09989,SupplierA,LayoutA,Method2,21.0,Shirt Cotton M,Shirt,Cotton,M,Summer,0.21
PRD09988,SupplierD,LayoutC,Method3,26.0,Pants Linen S,Pants,Linen,S,Winter,0.37
PRD09987,SupplierA,LayoutB,Method1,32.0,Pants Polyester L,Pants,Polyester,L,Summer,0.3
PRD09986,SupplierE,LayoutA,Method3,31.0,Skirt Silk L,Skirt,Silk,L,Winter,0.21
PRD09985,SupplierE,LayoutC,Method1,29.0,Blouse Cotton S,Blouse,Cotton,S,Summer,0.27
PRD09984,SupplierB,LayoutB,Method1,27.0,Blouse Cotton L,Blouse,Cotton,L,Spring,0.28
PRD09983,SupplierA,LayoutC,Method3,29.0,Pants Linen L,Pants,Linen,L,Winter,0.36
PRD09982,SupplierD,LayoutB,Method1,25.0,Skirt Polyester M,Skirt,Polyester,M,Summer,0.26
PRD09981,SupplierA,LayoutD,Method3,12.0,Jacket Silk S,Jacket,Silk,S,Summer,0.62
PRD00022,SupplierB,LayoutB,Method2,45.0,Shirt Cotton M,Shirt,Cotton,M,Autumn,0.16
PRD00021,SupplierA,LayoutE,Method2,5.0,Suit Cotton M,Suit,Cotton,M,Spring,1.11
PRD00020,SupplierC,LayoutC,Method1,27.0,Pants Cotton S,Pants,Cotton,S,Spring,0.34
PRD00019,SupplierC,LayoutC,Method2,11.0,Jacket Cotton M,Jacket,Cotton,M,Summer,0.76
PRD00018,SupplierA,LayoutB,Method2,20.0,Dress Cotton XL,Dress,Cotton,XL,Winter,0.46
PRD00017,SupplierB,LayoutC,Method2,30.0,Pants Cotton L,Pants,Cotton,L,Summer,0.37
PRD00016,SupplierB,LayoutA,Method2,22.0,Shirt Cotton L,Shirt,Cotton,L,Spring,0.2
PRD00015,SupplierB,LayoutA,Method1,41.0,Shirt Polyester M,Shirt,Polyester,M,Summer,0.12
PRD00014,SupplierB,LayoutC,Method1,31.0,Pants Cotton M,Pants,Cotton,M,Winter,0.42
PRD00013,SupplierE,LayoutA,Method3,41.0,T-Shirt Silk S,T-Shirt,Silk,S,Summer,0.1
PRD00012,SupplierC,LayoutC,Method3,34.0,Shorts Wool XS,Shorts,Wool,XS,Summer,0.33
PRD00033,SupplierB,LayoutA,Method3,39.0,Shirt Silk L,Shirt,Silk,L,Winter,0.14
PRD00032,SupplierA,LayoutC,Method2,29.0,Shirt Denim S,Shirt,Denim,S,Summer,0.3
PRD00031,SupplierA,LayoutC,Method1,24.0,Skirt Cotton L,Skirt,Cotton,L,Summer,0.32
PRD00030,SupplierA,LayoutC,Method3,29.0,Shirt Wool S,Shirt,Wool,S,Winter,0.26
PRD00029,SupplierC,LayoutB,Method3,30.0,Skirt Wool S,Skirt,Wool,S,Summer,0.32
PRD00028,SupplierH,LayoutC,Method3,33.0,Dress Silk XS,Dress,Silk,XS,Winter,0.37
PRD00027,SupplierD,LayoutB,Method3,36.0,Shirt Silk S,Shirt,Silk,S,Summer,0.11
PRD00026,SupplierB,LayoutA,Method1,47.0,T-Shirt Cotton M,T-Shirt,Cotton,M,Autumn,0.15
PRD00025,SupplierD,LayoutC,Method3,19.0,Dress Wool M,Dress,Wool,M,Autumn,0.72
PRD00024,SupplierA,LayoutD,Method2,12.0,Jacket Cotton L,Jacket,Cotton,L,Summer,0.73
PRD00023,SupplierA,LayoutB,Method3,21.0,Pants Silk M,Pants,Silk,M,Summer,0.28
PRD00043,SupplierG,LayoutA,Method2,37.0,Shirt Cotton L,Shirt,Cotton,L,Summer,0.19
PRD00042,SupplierB,LayoutB,Method1,32.0,Dress Cotton L,Dress,Cotton,L,Spring,0.45
PRD00041,SupplierC,LayoutA,Method3,43.0,Shirt Silk S,Shirt,Silk,S,Spring,0.15
PRD00040,SupplierE,LayoutC,Method2,19.0,Jacket Cotton XS,Jacket,Cotton,XS,Spring,0.75
PRD00039,SupplierA,LayoutD,Method2,4.0,Coat Polyester L,Coat,Polyester,L,Winter,1.2
PRD00038,SupplierB,LayoutA,Method2,36.0,Shirt Cotton S,Shirt,Cotton,S,Summer,0.18
PRD00037,SupplierB,LayoutC,Method3,23.0,Pants Silk M,Pants,Silk,M,Summer,0.31
PRD00036,SupplierC,LayoutA,Method2,34.0,T-Shirt Cotton L,T-Shirt,Cotton,L,Summer,0.14
PRD00035,SupplierF,LayoutB,Method3,23.0,Shorts Wool S,Shorts,Wool,S,Winter,0.36
PRD00034,SupplierF,LayoutA,Method3,29.0,Shorts Silk M,Shorts,Silk,M,Summer,0.23
PRD00053,SupplierB,LayoutB,Method3,30.0,Shorts Silk M,Shorts,Silk,M,Spring,0.25
PRD00052,SupplierA,LayoutA,Method1,30.0,T-Shirt Polyester L,T-Shirt,Polyester,L,Winter,0.12
PRD00051,SupplierA,LayoutB,Method2,29.0,Shorts Linen XS,Shorts,Linen,XS,Autumn,0.27
PRD00050,SupplierA,LayoutC,Method2,25.0,Shirt Denim XL,Shirt,Denim,XL,Spring,0.27
PRD00049,SupplierC,LayoutB,Method2,9999.0,Skirt Linen M,Skirt,Linen,M,Summer,0.24
PRD00048,SupplierA,LayoutC,Method1,23.0,Dress Cotton S,Dress,Cotton,S,Winter,0.43
PRD00047,SupplierG,LayoutB,Method1,30.0,Pants Cotton M,Pants,Cotton,M,Winter,0.38
PRD00046,SupplierB,LayoutD,Method1,18.0,Suit Polyester L,Suit,Polyester,L,Summer,0.76
PRD00045,SupplierA,LayoutC,Method2,28.0,Pants Linen S,Pants,Linen,S,Summer,0.41
PRD00044,SupplierD,LayoutA,Method2,24.0,Blouse Polyester M,Blouse,Polyester,M,Autumn,0.2
PRD00064,SupplierF,LayoutC,Method1,11.0,Jacket Cotton L,Jacket,Cotton,L,Spring,0.74
PRD00063,SupplierA,LayoutA,Method2,45.0,T-Shirt Polyester L,T-Shirt,Polyester,L,Autumn,0.12
PRD00062,SupplierB,LayoutB,Method1,23.0,Pants Cotton M,Pants,Cotton,M,Summer,0.37
PRD00061,SupplierA,LayoutC,Method1,12.0,Jacket Cotton M,Jacket,Cotton,M,Spring,0.97
PRD00060,SupplierH,LayoutC,Method2,33.0,Pants Cotton L,Pants,Cotton,L,Spring,0.41
PRD00059,SupplierH,LayoutA,Method1,42.0,Shirt Polyester XL,Shirt,Polyester,XL,Winter,0.15
PRD00058,SupplierF,LayoutB,Method2,30.0,Shirt Linen S,Shirt,Linen,S,Spring,0.19
PRD00057,SupplierD,LayoutA,Method2,30.0,Shirt Polyester S,Shirt,Polyester,S,Summer,0.15
PRD00056,SupplierA,LayoutB,Method2,30.0,Shorts Polyester XL,Shorts,Polyester,XL,Spring,0.27
PRD00055,SupplierH,LayoutB,Method2,21.0,Skirt Polyester L,Skirt,Polyester,L,Autumn,0.3
PRD00054,SupplierA,LayoutB,Method2,43.0,Blouse Polyester M,Blouse,Polyester,M,Autumn,0.17
PRD00074,SupplierF,LayoutA,Method2,47.0,T-Shirt Cotton L,T-Shirt,Cotton,L,Winter,0.18
PRD00073,SupplierB,LayoutB,Method1,43.0,Shirt Polyester M,Shirt,Polyester,M,Summer,0.16
PRD00072,SupplierG,LayoutA,Method3,33.0,Shirt Linen S,Shirt,Linen,S,Autumn,0.18
PRD00071,SupplierB,LayoutB,Method2,47.0,T-Shirt Denim M,T-Shirt,Denim,M,Autumn,0.15
PRD00070,SupplierB,LayoutD,Method3,11.0,Hoodie Silk M,Hoodie,Silk,M,Spring,0.6
PRD00069,SupplierB,LayoutB,Method2,49.0,Shirt Polyester M,Shirt,Polyester,M,Winter,0.16
PRD00068,SupplierB,LayoutB,Method3,31.0,T-Shirt Linen L,T-Shirt,Linen,L,Autumn,0.13
PRD00067,SupplierB,LayoutB,Method3,34.0,Shirt Wool M,Shirt,Wool,M,Summer,0.21
PRD00066,SupplierA,LayoutC,Method3,29.0,Skirt Wool M,Skirt,Wool,M,Summer,0.35
