DateOfReport,ReportID,ProductReference,SupplierName,GarmentType,Material,Weight,ProposedUnitsPerCarton,ProposedFoldingMethod,ProposedLayout,PackagingQuality,Size,Collection
2023-01-01,RPT0157292,PRD00032,SupplierD,Shirt,Denim,0.3,27.0,Method2,LayoutB,Good,S,Summer
2023-01-01,RPT0170315,PRD00018,SupplierC,Dress,Cotton,0.46,32.0,Method1,LayoutC,Good,XL,Winter
2023-01-01,RPT0182158,PRD00026,SupplierB,T-Shirt,Cotton,0.15,32.0,Method2,LayoutB,Good,M,Autumn
2023-01-02,RPT0033601,PRD00028,SupplierD,Dress,Silk,0.37,28.0,Method3,LayoutB,Good,XS,Winter
2023-01-03,RPT0307071,PRD00022,SupplierD,Shirt,Cotton,0.16,33.0,Method1,LayoutB,Good,M,Autumn
2023-01-03,RPT0324712,PRD00008,SupplierB,T-Shirt,Polyester,0.13,38.0,Method2,LayoutG,Good,S,Spring
2023-01-04,RPT0045511,PRD00006,SupplierB,Shirt,Silk,0.16,30.0,Method3,LayoutB,Good,L,Summer
2023-01-04,RPT0060327,PRD00008,SupplierB,T-Shirt,Polyester,0.13,37.0,Method1,LayoutA,Good,S,Spring
2023-01-04,RPT0079660,PRD00030,SupplierE,Shirt,Wool,0.26,21.0,Method3,LayoutC,Good,S,Winter
2023-01-04,RPT0239588,PRD00024,SupplierA,Jacket,Cotton,0.73,17.0,Method1,LayoutC,Good,L,Summer
2023-01-04,RPT0311934,PRD00002,SupplierB,Shorts,Cotton,0.35,21.0,Method2,LayoutB,Good,S,Summer
2023-01-04,RPT0488993,PRD00027,SupplierF,Shirt,Silk,0.11,37.0,Method3,LayoutB,Bad,S,Summer
2023-01-05,RPT0017478,PRD00025,SupplierD,Dress,Wool,0.72,15.0,Method3,LayoutC,Good,M,Autumn
2023-01-05,RPT0360391,PRD00015,SupplierB,Shirt,Polyester,0.12,40.0,Method2,LayoutA,Good,M,Summer
2023-01-06,RPT0115769,PRD00012,SupplierA,Shorts,Wool,0.33,32.0,Method3,LayoutC,Good,XS,Summer
